longitude,latitude,OBJECTID,HOUSE_NUMB,HYPERLINK,BUILDING_N,LEVEL_NO,STREETNAME,POSTALCODE,DESCRIPTIO,NAME_OF_SC,UNIT_NO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.77571279854897,1.319259263973447,34,201,http://www.nexus.edu.sg,,,ULU PANDAN ROAD,596468,Private Education Institutions,NEXUS INTERNATIONAL SCHOOL,,819D53F020D005B0,2014/01/27,21589.04110000000,33502.57800000000
103.84341710643017,1.295233439799555,35,97,http://www.NAA.edu.sg,TEOCHEW BUILDING,04,TANK ROAD,238066,Private Education Institutions,NGEE ANN-ADELAIDE EDUCATION CENTRE,00,6D61D7DA97A08714,2014/01/27,29123.87760000000,30845.85410000000
103.84847054556026,1.273720504774816,36,12,http://www.novo.edu.sg,BESTWAY BUILDING,01,PRINCE EDWARD ROAD,079212,Private Education Institutions,NOVO INSTITUTE,03,0445262552E29E1D,2014/01/27,29686.29510000000,28467.06760000000
103.91955618329948,1.330739306091286,37,12,http://www.npsinternational.edu.sg,BLOCKS 1 & 2,,CHAI CHEE LANE,469022,Private Education Institutions,NPS INTERNATIONAL SCHOOL,,2B4A203979CB62CD,2014/01/27,37597.35800000000,34772.07560000000
103.85152157168197,1.296746961823506,38,73,http://www.lhubglobal.com,NTUC TRADE UNION HOUSE,02,BRAS BASAH ROAD,189556,Private Education Institutions,LEARNINGHUB GLOBAL INSTITUTE,01,9FF7D5B63E8EA4D0,2014/02/17,30025.83230000000,31013.21660000000
103.85152157168197,1.296746961823506,39,73,http://www.seedinstitute.edu.sg,NTUC TRADE UNION HOUSE,07,BRAS BASAH ROAD,189556,Private Education Institutions,SEED INSTITUTE,01,9FF7D5B613A3406B,2014/02/17,30025.83230000000,31013.21660000000
103.8682863826162,1.337486886550674,40,1,http://www.sais.edu.sg,,,WOODLEIGH LANE,357684,Private Education Institutions,STAMFORD AMERICAN INTERNATIONAL SCHOOL,,C58DF0B6B5CEE2A3,2014/01/27,31891.54490000000,35518.04850000000
103.84361314279488,1.296192223978888,41,120,http://www.src.edu.sg,IMPERIAL HOUSE,,OXLEY RISE,238709,Private Education Institutions,STAMFORD RAFFLES COLLEGE,,91386DEF3F8BBBB9,2014/01/27,29145.69420000000,30951.87160000000
103.84624540938916,1.275095194207701,42,3,http://www.stansfield.edu.sg,SPRINGLEAF TOWER,LEVEL 6,ANSON ROAD,079909,Private Education Institutions,STANSFIELD COLLEGE,,BC55B97036509021,2014/01/27,29438.65410000000,28619.07230000000
103.85261549145092,1.299261808503165,43,135,http://www.stei.edu.sg,BYLANDS BUILDING,03,MIDDLE ROAD,188975,Private Education Institutions,STEI INSTITUTE,"01,02,03",826C21D7A86F6FAC,2014/01/27,30147.57390000000,31291.29620000000
103.84570322397971,1.275735683523371,44,10,http://www.sterling-campus.edu.sg,INTERNATIONAL PLAZA,25,ANSON ROAD,079903,Private Education Institutions,STERLING CAMPUS,04,B4545ED58712213E,2014/01/27,29378.31290000000,28689.89390000000
103.84951131624342,1.302122035916567,45,2,http://www.stoneforest.com.sg/services-nju.htm,WILKIE EDGE,03,WILKIE ROAD,228095,Private Education Institutions,STONE FOREST ACADEMY,02,9EC1C158D382CBA4,2014/01/27,29802.10480000000,31607.56310000000
103.94371642591177,1.34842582374978,46,144,,HDB SHOPHOUSE,01,TAMPINES STREET 12,521144,Private Education Institutions,SUCCESS.NAT INTERNATIONAL INSTITUTE,398,A2D6E21DC01F51E2,2014/01/27,40286.05920000000,36727.87100000000
103.79043098865665,1.34298223306343,47,38,http://www.swiss-school.edu.sg,SWISS SCHOOL,,SWISS CLUB,288140,Private Education Institutions,SWISS SCHOOL IN SINGAPORE,,96A765299A5F6D57,2014/01/27,23227.07740000000,36125.71010000000
103.84982040403123,1.291945937738795,48,5,http://www.tamaris.com.sg,EXCELSIOR SHOPPING CENTRE,03,COLEMAN STREET,179805,Private Education Institutions,TAMARIS HAIRDRESSING & BEAUTY SCHOOL (1987),13,92305DEA221B86D1,2014/01/27,29836.51090000000,30482.34280000000
103.7921104182648,1.296878557919663,49,95,http://www.tts.edu.sg,,,PORTSDOWN ROAD,139299,Private Education Institutions,TANGLIN TRUST SCHOOL,,C28610092F09FA82,2014/01/27,23413.89530000000,31027.79790000000
103.84966233202786,1.323024577684456,50,70,http://www.tec.edu.sg,,,MARTABAN ROAD,328667,Private Education Institutions,TEC INTERNATIONAL COLLEGE,,0EAF98DA70DD0302,2014/01/27,29818.89640000000,33918.85880000000
103.85548013363318,1.296981888572186,51,37 & 39,http://www.teg.edu.sg,UWEEI BUILDING,01,MIDDLE ROAD,188946,Private Education Institutions,TEG INTERNATIONAL COLLEGE,00,E09A782FA921AB4A,2014/01/27,30466.38520000000,31039.19710000000
103.82734213015458,1.286101047133481,52,298,http://www.taftc.org,CENTRAL PLAZA,14,TIONG BAHRU ROAD,168730,Private Education Institutions,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE,06,386C9B260E8C1244,2014/01/27,27334.87110000000,29836.03970000000
103.84900181187169,1.28022347147525,53,133,http://www.academyforteachers.edu.sg,KECK SENG TOWER,10,CECIL STREET,069535,Private Education Institutions,THE ACADEMY FOR ENGLISH LANGUAGE TEACHERS,01A,DD58D3AB2872068D,2014/01/27,29745.41660000000,29186.13240000000
103.89476336499813,1.318572283279079,54,10,http://www.victoriaeduhub.com.sg,SINGAPORE POST CENTRE,14,EUNOS ROAD 8,408600,Private Education Institutions,VICTORIA EDUHUB,09,E32FB4FE60AFDD3B,2014/01/27,34838.20450000000,33426.62530000000
103.85197106410062,1.322704477745545,55,279,http://victorylifechristianschool.com/,BALESTIER POINT,B1,BALESTIER ROAD,329727,Private Education Institutions,VICTORY LIFE CHRISTIAN SCHOOL,00,125898B7E458B338,2014/01/27,30075.83550000000,33883.46570000000
103.76619183750512,1.296096448951541,56,57,http://www.waseda-shibuya.edu.sg/top-page.php,,,WEST COAST ROAD,127366,Private Education Institutions,WASEDA SHIBUYA SENIOR HIGH SCHOOL IN SINGAPORE,,E26B0A57F1C8380D,2014/01/27,20529.38260000000,30941.37800000000
103.8419631524513,1.30991698659704,57,BLK A,http://www.wavelink.com.sg/wmi/aboutus.html,,03,"10, WINSTEDT ROAD",227977,Private Education Institutions,WAVELINK MARITIME INSTITUTE,09,61140F9580DF16A8,2014/01/27,28962.05970000000,32469.48450000000
103.85128662751939,1.28223843021568,58,1,http://www.amitysingapore.sg,FINLAYSON GREEN,10,FINLAYSON GREEN,049246,Private Education Institutions,AMITY GLOBAL BUSINESS SCHOOL,00,3544209B6FB458C3,2014/01/27,29999.69640000000,29408.93770000000
103.84458906467752,1.298054718424458,59,9,http://www.acc.edu.sg,PARKMALL,13,PENANG ROAD,238459,Private Education Institutions,ACC SCHOOL OF COUNSELLING AND PSYCHOLOGY,22,3864DFC0DF4091AD,2014/01/27,29254.30480000000,31157.81700000000
103.84954059686515,1.301232506172409,60,1,http://www.addison.edu.sg,PEACE CENTRE,06,SOPHIA ROAD,228149,Private Education Institutions,ADDISON INSTITUTE,24,CBF2AA68E7C6E596,2014/01/27,29805.36410000000,31509.20350000000
103.85494556410912,1.297227793618051,61,420,,NORTH BRIDGE CENTRE,06,NORTH BRIDGE ROAD,188727,Private Education Institutions,ADONIS FIRST ACADEMY OF COSMETOLOGY,32,5A943D503179347E,2014/01/27,30406.89200000000,31066.38740000000
103.8457429100512,1.274507875862481,62,51,http://www.advancescs.com,ANSON CENTRE,09,ANSON ROAD,079904,Private Education Institutions,ADVANCE SUPPLY CHAIN TRAINING CENTRE,51A,B86EE6A58F5916DE,2014/01/27,29382.73020000000,28554.12940000000
103.84103768672561,1.321832573080529,63,299,http://www.alsauc.edu.sg,SAN YU ADVENTIST SCHOOL,,THOMSON ROAD,307652,Private Education Institutions,ADVENT LINKS-SAUC EDUCATION CENTRE,,ACBF269D48F2C8F8,2014/01/27,28859.05990000000,33787.04840000000
103.84841833737288,1.288985025271848,64,20,http://www.sae.edu,THE RIVERWALK GALLERIA,01,UPPER CIRCULAR ROAD,058416,Private Education Institutions,SAE INSTITUTE,"42,49",881145E5B61EEE3D,2014/01/27,29680.47480000000,30154.93940000000
103.77074752290237,1.349805669135194,65,270,http://www.saintclare.com.sg,,01,UPPER BUKIT TIMAH ROAD,588211,Private Education Institutions,SAINT CLARE SCHOOL FOR SPECIAL EDUCATION,"11,12",9871C93DA8694E40,2014/01/27,21036.54040000000,36880.25850000000
103.84103768672561,1.321832573080529,66,299,http://www.syas.edu.sg,,,THOMSON ROAD,307652,Private Education Institutions,SAN YU ADVENTIST SCHOOL,,ACBF269D3F6FDACA,2014/01/27,28859.05990000000,33787.04840000000
103.83969237503212,1.300723512498282,67,181,http://www.soma.com.sg,ORCHARD CENTRAL,06,ORCHARD ROAD,238896,Private Education Institutions,SCHOOL OF MUSIC AND THE ARTS,25,12201CCDA2735C22,2014/01/27,28709.34600000000,31452.91660000000
103.84847054556026,1.273720504774816,68,12,http://www.sdh.edu.sg,BESTWAY BUILDING,01,PRINCE EDWARD ROAD,079212,Private Education Institutions,SDH INSTITUTE,03,0445262551CAB221,2014/01/27,29686.29510000000,28467.06760000000
103.8406596135551,1.281708099215677,69,100,http://www.mdisingapore.com,PEARL CENTRE,03,EU TONG SEN STREET,059812,Private Education Institutions,MIRROR D' INTERNATIONAL COLLEGE,19,B333BAA8BC9F7B84,2014/01/27,28816.99710000000,29350.29060000000
103.84787802824056,1.287049373821573,70,72,http://www.mmi-academy.com/,MMI BUILDING,,SOUTH BRIDGE ROAD,058702,Private Education Institutions,MMI ACADEMY,,942958B6BEB373A4,2014/01/27,29620.34430000000,29940.90460000000
103.85146469730152,1.29987902251322,71,80,http://www.nafa.edu.sg,,,BENCOOLEN STREET,189655,Private Education Institutions,NANYANG ACADEMY OF FINE ARTS,,A702D9B996A44696,2014/01/27,30019.50030000000,31359.54370000000
103.81436179840976,1.286689071822113,72,141,http://www.reca.edu.sg,EMPLOYMENT AND EMPLOYABILITY INSTITUTE,C303,REDHILL ROAD,158828,Private Education Institutions,REAL ESTATE AND CONSTRUCTION ACADEMY,,82BB75614EB3B695,2014/01/27,25890.26920000000,29901.06760000000
103.89476336499813,1.318572283279079,73,10,http://www.regent.edu.sg,SINGAPORE POST CENTRE,02,EUNOS ROAD 8,408600,Private Education Institutions,REGENT BUSINESS SCHOOL,03,E32FB4FE004E9182,2014/01/27,34838.20450000000,33426.62530000000
103.84963196784146,1.283280776151585,74,3,http://www.rutgers.edu.sg,SAMSUNG HUB,08,CHURCH STREET,049483,Private Education Institutions,RUTGERS BUSINESS SCHOOL ASIA PACIFIC,00,46DCC16EDAAF7687,2014/01/27,29815.54560000000,29524.19380000000
103.80135040348082,1.280058713672569,75,10,http://www.spjain.org,S P JAIN SCHOOL OF GLOBAL MANAGEMENT,,HYDERABAD ROAD,119579,Private Education Institutions,S P JAIN SCHOOL OF GLOBAL MANAGEMENT,,9DE30BC24AFEC1A8,2014/01/27,24442.20080000000,29167.93110000000
103.83725723032771,1.300222310380864,76,111,http://www.saage.edu.sg,TRIPLEONE SOMERSET,06,SOMERSET ROAD,238164,Private Education Institutions,SAA GLOBAL EDUCATION CENTRE,"01,02",AEFDC85F792AFA2B,2014/01/27,28438.33650000000,31397.49570000000
103.81852658653581,1.282638214126546,77,167,http://www.hmi-ihs.com,CONNECTION ONE TOWER 5,05,JALAN BUKIT MERAH,150167,Private Education Institutions,HMI INSTITUTE OF HEALTH SCIENCES,10,D737B62834739CE7,2014/01/27,26353.77260000000,29453.14150000000
103.78990900556794,1.345705102564717,78,65,http://www.hollandseschool.org,,,BUKIT TINGGI ROAD,289757,Private Education Institutions,HOLLANDSE SCHOOL,,D6A9409E920AE168,2014/01/27,23168.99180000000,36426.79210000000
103.82106822944591,1.283422482046138,79,BLK 119,http://www.tsaofoundation.org,,01,BUKIT MERAH VIEW,152119,Private Education Institutions,HUA MEI TRAINING ACADEMY OF TSAO FOUNDATION,77,C0E363E84CAA1DE7,2014/01/27,26636.63700000000,29539.86040000000
103.84188870140562,1.273645084954982,80,15,http://www.hcs.com.sg,TOWER FIFTEEN,23,HOE CHIANG ROAD,089316,Private Education Institutions,HUMAN CAPITAL SINGAPORE,01,6615FE464051E949,2014/01/27,28953.78740000000,28458.72470000000
103.80339881861441,1.27389286949756,81,991B,http://www.hyperisland.com/singapore,,03,ALEXANDRA ROAD,119970,Private Education Institutions,HYPER ISLAND INSTITUTE OF HIGHER EDUCATION,08,E4AD24B1D0B93369,2014/01/27,24670.16500000000,28486.14120000000
103.84267707234886,1.288566646766419,82,7,http://www.icastec.com.sg/,CENTRAL MALL,01,MAGAZINE ROAD,059572,Private Education Institutions,ICAS TRAINING AND EDUCATION COLLEGE (ICASTEC),"01,02",1AE50D6E962FBFEC,2014/01/27,29041.52090000000,30108.67420000000
103.74168357768328,1.33136346541647,83,8,http://www.icnacademy.com/,JTC SUMMIT,03,JURONG TOWN HALL ROAD,609434,Private Education Institutions,ICN ACADEMY,01,7385F81F97CB6A3E,2014/01/27,17801.96930000000,34841.11390000000
103.87854027900674,1.340968754572287,84,27,http://www.idy.edu.sg,THE HILL LODGE @ MOUNT VERNON,,MOUNT VERNON ROAD,368052,Private Education Institutions,IDY ACADEMY,,82FB4816BE230573,2014/01/27,33032.68760000000,35903.07450000000
103.84954059686515,1.301232506172409,85,1,http://www.image.edu.sg,PEACE CENTRE,06,SOPHIA ROAD,228149,Private Education Institutions,IMAGE SCHOOL OF TECHNOLOGY,28,CBF2AA68006FA366,2014/01/27,29805.36410000000,31509.20350000000
103.84386838882,1.285792100379776,86,101,http://www.imelda-trainingschool.com.sg,PEOPLE'S PARK CENTRE,02,UPPER CROSS STREET,058357,Private Education Institutions,IMELDA UNISEX HAIRSTYLING & BEAUTY TRAINING SCHOOL,40,C3945AD318F49614,2014/01/27,29174.10570000000,29801.87960000000
103.85041857966186,1.293149492302731,87,47,http://impartlearningcentre.com/,SINGAPORE CHINESE CHAMBER OF COMMERCE AND INDUSTRY,07,HILL STREET,179365,Private Education Institutions,IMPART LEARNING CENTRE,08A,D2756FF69BC068A0,2014/01/27,29903.08170000000,30615.42610000000
