latitude,longitude,Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
1.292747,103.842264,UE SQUARE,205 River Valley Road  #13-61 ,1,98,Strata,1770000,18061,1678,16-Jan-14,Apartment,929 Yrs From 01/01/1953,1997,Resale,Private,9,23,238274,Central Region,Singapore River
1.293991,103.842275,RV POINT,233 River Valley Road  #06-06 ,1,39,Strata,900000,23077,2144,4-Dec-13,Apartment,999 Yrs From 01/07/1841,Uncompleted,Sub Sale,Private,9,23,238291,Central Region,Singapore River
1.388553,103.851667,GRANDE VISTA,24 Cactus Drive  #05-10 ,1,115,Strata,1205000,10478,973,27-Dec-13,Condominium,999 Yrs From 05/05/1886,1993,Resale,Private,28,80,809694,North East Region,Ang Mo Kio
1.363457,103.861028,SERANGOON GARDEN ESTATE,78 Bodmin Drive ,1,260,Land,3400000,13072,1214,2-Dec-13,Terrace House,999 Yrs From 01/01/1955,Unknown,Resale,Private,19,55,559677,North East Region,Serangoon
1.362976,103.861449,SERANGOON GARDEN ESTATE,62 Bodmin Drive ,1,260,Land,4428000,17024,1582,29-Nov-13,Semi-Detached House,999 Yrs From 01/01/1955,Unknown,Resale,Private,19,55,559661,North East Region,Serangoon
1.360506,103.861471,SERANGOON GARDEN ESTATE,40 Brockhampton Drive ,1,259,Land,3250000,12543,1165,26-Nov-13,Terrace House,999 Yrs From 01/01/1955,Unknown,Resale,Private,19,55,559088,North East Region,Serangoon
1.365293,103.861763,SERANGOON GARDEN ESTATE,7 Berwick Drive ,1,210,Land,3500000,16688,1550,6-Dec-13,Semi-Detached House,999 Yrs From 01/01/1956,Uncompleted,New Sale,Private,19,55,559898,North East Region,Serangoon
1.326401,103.862254,BEACON HEIGHTS,8 Mar Thoma Road  #20-03 ,1,83,Strata,1190000,14337,1332,27-Jan-14,Condominium,999 Yrs From 02/06/1882,2012,Sub Sale,Private,12,32,328689,Central Region,Kallang
1.327613,103.862378,VETRO,22A Mar Thoma Road  #02-02 ,1,57,Strata,755000,13246,1231,19-Nov-13,Apartment,999 Yrs From 02/06/1882,2010,Resale,Private,12,32,328703,Central Region,Kallang
1.360005,103.862795,SERANGOON GARDEN ESTATE,9 Braemar Drive ,1,260,Land,3000000,11534,1072,24-Jan-14,Terrace House,999 Yrs From 01/01/1956,Unknown,Resale,Private,19,55,559413,North East Region,Serangoon
