longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,ADDRESSUNI,DESCRIPTIO,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.90426205419733,1.320328343789512,41,4A,,,402004,Eunos Crescent,I,,,,35895.18000000000,33621.21000000000,Blk 4A Eunos Crescent,,781F09ED7AE6C29A,2014/01/29,35895.31080000000,33620.82980000000
103.88391120391857,1.302366051699282,42,4A,,,432004,Jalan Batu,I,,,,33633.77000000000,31640.43000000000,Blk 4A Jalan Batu,,83E2CD1E9CBC8FBA,2014/01/29,33630.50070000000,31634.59570000000
103.77008671062707,1.440540412189292,43,4A,,,731004,Woodlands Centre Road,I,,,,20963.35000000000,46946.39000000000,Blk 4A Woodlands Centre Road,,D56F8A9C36A2EE6B,2014/01/29,20963.26900000000,46913.25470000000
103.75908094212409,1.311885960081891,44,502,,,120502,West Coast Drive,I,,,,19747.53000000000,32687.74000000000,Blk 502 West Coast Drive,,8F988CE0E977294C,2014/01/29,19738.05330000000,32687.32440000000
103.75975140548039,1.311803099577395,45,503,,,120503,West Coast Drive,I,,,,19812.66000000000,32678.15000000000,Blk 503 West Coast Drive,,E3E897051F95A1C8,2014/01/29,19812.66940000000,32678.15990000000
103.71844755171423,1.349642296542477,46,505,,,640505,Jurong West Street 52,I,,,,15216.13000000000,36862.40000000000,Blk 505 Jurong West Street 52,,16458E3799D7FA3B,2014/01/29,15216.13090000000,36862.40580000000
103.91576199638534,1.305775212020381,47,50A,,,441050,Marine Terrace,I,,,,37175.19000000000,32011.65000000000,Blk 50A Marine Terrace,,D1223D29E053246D,2014/01/29,37175.19510000000,32011.65700000000
103.88583330488682,1.308251582993108,48,51,,,390051,Old Airport Road,I,,,,33844.39000000000,32285.39000000000,Blk 51 Old Airport Road,,CC6C16AF4FD575BF,2014/01/29,33844.39970000000,32285.39220000000
103.9306021849072,1.333246361889777,49,511,,,460511,Bedok North Street 3,I,,,,38826.65000000000,35049.33000000000,Blk 511 Bedok North Street 3,,CEBE98A324C53CFC,2014/01/29,38826.65450000000,35049.33910000000
103.85445956633549,1.372961914947967,50,527,,,560527,Ang Mo Kio Ave 10,I,,,,30355.32000000000,39419.45000000000,Blk 527 Ang Mo Kio Ave 10,,DDC87E710A40B9C5,2014/01/29,30352.73290000000,39440.67880000000
103.92484428302393,1.331781318154245,51,538,,,460538,Bedok North Street 3,I,,,,38185.86000000000,34887.31000000000,Blk 538 Bedok North Street 3,,41380367573D610C,2014/01/29,38185.86520000000,34887.31730000000
103.94113244091244,1.324187896908522,52,58,,,461058,New Upper Changi Road,I,,,,39998.60000000000,34047.74000000000,Blk 58 New Upper Changi Road,,0BE23D231A2C4034,2014/01/29,39998.60750000000,34047.74760000000
103.84316702897807,1.276614650456525,53,6,,,81006,Tanjong Pagar Plaza,I,,,,29096.05000000000,28787.08000000000,Blk 6 Tanjong Pagar Plaza,,45A521727AF53061,2014/01/29,29096.05410000000,28787.08440000000
103.85405459185789,1.323434910961185,54,91/92,,,320091,Whampoa Drive,I,,,,30309.21000000000,33962.78000000000,Blks 91/92 Whampoa Drive,,192DB60EC0F6307F,2014/01/29,30307.71070000000,33964.23500000000
103.77599503946172,1.339375971655764,55,51,,,588215,Upper Bukit Timah Road,I,,,,21620.50000000000,35726.98000000000,Bukit Timah Market,,F834392AFD2D6F21,2014/01/29,21620.50340000000,35726.98090000000
103.84317764415054,1.282235213379283,56,335,,,50335,Smith Street,I,,,,29097.23000000000,29408.57000000000,Chinatown Market,,7BEDB25F978CA250,2014/01/29,29097.23300000000,29408.57710000000
103.86653618601092,1.364228581941746,57,20,,,557269,Kensington Park Road,I,,,,31696.72000000000,38475.00000000000,Chomp Chomp Food Centre,,705448BF9F97E171,2014/01/29,31696.72620000000,38475.00650000000
103.82853767913346,1.431447747095231,58,104/105,,,760104,Yishun Ring Road,I,,,,27467.95000000000,45907.73000000000,Chong Pang Market & Food Centre,,E958B69411B64224,2014/01/29,27467.95770000000,45907.73650000000
103.80002966287158,1.306973673519807,59,31,,,140116,Commonwealth Crescent,I,,,,24295.25000000000,32144.05000000000,Commonwealth Crescent Market,,62D2AFCDE5FBF4B6,2014/01/29,24295.25220000000,32144.05100000000
103.9018252074152,1.309414274130081,60,271,,,424768,Onan Road,I,,,,35624.14000000000,32413.99000000000,Dunman Food Centre,,5F88A492A4548D82,2014/01/29,35624.14670000000,32413.99960000000
103.93501677330816,1.306684339008589,61,1220,,,468960,East Coast Parkway,I,,,,39318.07000000000,32112.26000000000,East Coast Lagoon Food Village,,508510E5129CC5D4,2014/01/29,39318.07290000000,32112.26220000000
103.89797741302736,1.316725156187136,62,,,,402001,Geylang Serai,I,,,,35223.38000000000,33222.72000000000,Geylang Serai Market,,59D29635216CC8F4,2014/01/29,35195.90200000000,33222.38840000000
103.86388327244927,1.302875543309719,63,505,,,199583,Beach Road,I,,,,31401.57000000000,31690.89000000000,Golden Mile Food Centre,,D916F6E50F209BD1,2014/01/29,31401.57240000000,31690.89690000000
103.79483381138246,1.311148970239615,64,1,,,277700,Lorong Mambong,I,,,,23720.25000000000,32579.10000000000,Holland Village Market & Food Centre,,26B5CE1524771ABB,2014/01/29,23717.00910000000,32605.74220000000
103.84582428874134,1.285295084215743,65,531A,,,51531,Upper Cross Street,,,NEA Food centre,,29391.18000000000,29741.54000000000,Hong Lim Market & Food Centre,,428E70D40BF452E4,2014/01/29,29391.78120000000,29746.92320000000
103.88399404739688,1.307320706320704,66,17,,,397972,Old Airport Road,I,,,,33654.86000000000,32190.80000000000,Kallang Estate Market,,2462C1282C223BE3,2014/01/29,33639.70940000000,32182.45630000000
103.88597769507933,1.359119467343151,67,209,,,530209,Hougang Street 21,I,,,,33860.34000000000,37910.10000000000,Kovan Market & Food Centre,,8390F2882816B013,2014/01/29,33860.34870000000,37910.10500000000
103.85002876291807,1.283867106790522,68,50,Golden Shoe Multi-Storey Carpark,,48940,Market Street,I,,,,29859.70000000000,29589.02000000000,Market Street Food Centre,,D3E8EA66F0A326A6,2014/01/29,29859.70520000000,29589.02740000000
